tarih,magaza_no,mal_no,toplam_satis_tl,toplam_satis_adet
2017-01-01,5136,8011001,1.53,1
2017-01-03,5136,8011001,7.64,5
2017-01-04,5136,8011001,3.06,2
2017-01-05,5136,8011001,4.59,3
2017-01-06,5136,8011001,3.06,2
2017-01-07,5136,8011001,1.53,1
2017-01-08,5136,8011001,4.59,3
2017-01-10,5136,8011001,9.18,6
2017-01-12,5136,8011001,3.06,2
2017-01-13,5136,8011001,3.06,2
2017-01-14,5136,8011001,6.11,4
2017-01-15,5136,8011001,9.16,6
2017-01-16,5136,8011001,3.06,2
2017-01-17,5136,8011001,6.12,4
2017-01-18,5136,8011001,15.29,10
2017-01-19,5136,8011001,9.17,6
2017-01-20,5136,8011001,8.57,5
2017-01-21,5136,8011001,15.41,9
2017-01-22,5136,8011001,18.85,11
2017-01-23,5136,8011001,5.14,3
2017-01-24,5136,8011001,10.27,6
2017-01-25,5136,8011001,8.56,5
2017-01-26,5136,8011001,8.56,5
2017-01-27,5136,8011001,15.41,9
2017-01-28,5136,8011001,11.98,7
2017-01-29,5136,8011001,11.98,7
2017-01-30,5136,8011001,5.13,3
2017-01-31,5136,8011001,6.84,4
2017-02-01,5136,8011001,10.26,6
2017-02-02,5136,8011001,20.56,12
2017-02-03,5136,8011001,8.57,5
2017-02-04,5136,8011001,18.85,12
2017-02-05,5136,8011001,8.57,5
2017-02-06,5136,8011001,1.71,1
2017-02-07,5136,8011001,11.98,7
2017-02-08,5136,8011001,10.28,6
2017-02-10,5136,8011001,10.27,6
2017-02-11,5136,8011001,23.97,14
2017-02-12,5136,8011001,5.14,3
2017-02-13,5136,8011001,5.14,3
2017-02-14,5136,8011001,1.71,1
2017-02-15,5136,8011001,8.56,5
2017-02-16,5136,8011001,17.13,10
2017-02-17,5136,8011001,10.27,6
2017-02-18,5136,8011001,17.13,10
2017-02-19,5136,8011001,10.27,6
2017-02-20,5136,8011001,1.71,1
2017-02-21,5136,8011001,8.56,5
2017-02-22,5136,8011001,5.14,3
2017-02-23,5136,8011001,6.84,4
2017-02-24,5136,8011001,5.14,3
2017-02-25,5136,8011001,18.82,11
2017-02-26,5136,8011001,20.54,12
2017-02-27,5136,8011001,3.42,2
2017-02-28,5136,8011001,10.28,6
2017-03-01,5136,8011001,3.42,2
2017-03-02,5136,8011001,6.86,4
2017-03-03,5136,8011001,3.42,2
2017-03-04,5136,8011001,25.69,15
2017-03-05,5136,8011001,15.43,9
2017-03-06,5136,8011001,3.42,2
2017-03-07,5136,8011001,18.84,11
2017-03-08,5136,8011001,5.13,3
